Site_ID,adipose tissue,adrenal gland,blood,bone,bone marrow,brain,breast,cartilage,colon,esophagus,fallopian tube,kidney,liver,lung,muscle,nasopharynx,nose,pancreas,placenta,prostate,skin,spleen,stomach,testis,thyroid gland,tongue,urinary bladder
32,0.03,0.03,0.03,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.03,0.02,0.02,0.03,0.03,0.05,0.02,0.03,0.02,0.03,0.03,0.03,0.03
33,0.06,0.05,0.05,0.09,0.06,0.03,0.1,0.05,0.07,0.16,0.12,0.08,0.04,0.11,0.05,0.14,0.07,0.04,0.02,0.19,0.06,0.11,0.12,0.04,0.06,0.15,0.11
34,0.98,0.97,0.96,1,0.97,0.97,0.98,0.95,0.98,0.98,0.99,0.98,0.97,0.98,0.99,0.97,0.96,0.98,0.9,0.97,0.99,0.97,0.97,0.94,0.98,0.97,0.98
35,0.03,0.02,0.03,0.04,0.04,0.02,0.02,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.02,0.02,0.02,0.03,0.02,0.03,0.03,0.02,0.03,0.02
36,0.98,0.98,0.98,0.99,0.98,0.95,0.95,0.96,0.97,0.98,0.99,0.98,0.99,0.99,0.98,0.99,0.99,0.98,0.98,0.96,0.97,0.98,0.99,0.96,0.99,0.98,0.99
37,0.04,0.04,0.06,0.09,0.06,0.02,0.06,0.03,0.24,0.16,0.03,0.05,0.07,0.11,0.03,0.25,0.06,0.07,0.44,0.08,0.04,0.14,0.21,0.04,0.04,0.22,0.13
38,0.95,0.88,0.96,0.95,0.95,0.97,0.93,0.95,0.96,0.95,0.97,0.96,0.54,0.96,0.89,0.97,0.98,0.97,0.93,0.94,0.97,0.96,0.97,0.94,0.96,0.92,0.96
39,0.85,0.9,0.73,0.82,0.87,0.85,0.81,0.88,0.88,0.88,0.93,0.9,0.9,0.86,0.89,0,0.77,0.84,0.87,0.81,0.88,0.83,0.94,0.86,0.91,0.83,0.83
40,0.84,0.81,0.86,0.8,0.84,0.92,0.84,0.91,0.77,0.77,0.9,0.85,0.81,0.8,0.83,0.69,0.86,0.71,0.64,0.87,0.86,0.65,0.72,0.83,0.76,0.76,0.83
41,0.96,0.98,0.97,0.96,0.98,0.97,0.96,0.94,0.93,0.95,0.98,0.95,0.97,0.97,0.86,0.93,0.98,0.96,0.89,0.95,0.93,0.91,0.94,0.78,0.98,0.96,0.94
42,0.64,0.71,0.6,0.54,0.59,0.44,0.6,0.46,0.46,0.55,0.8,0.59,0.65,0.63,0.65,0.44,0.31,0.49,0.68,0.53,0.8,0.72,0.37,0.54,0.65,0.66,0.59
43,0.96,0.97,0.95,0.93,0.94,0.93,0.96,0.94,0.95,0.95,0.94,0.97,0.96,0.97,0.73,0.92,0.77,0.96,0.92,0.96,0.96,0.93,0.94,0.9,0.97,0.95,0.92
44,0.04,0.05,0.06,0.11,0.05,0.05,0.06,0.05,0.08,0.05,0.1,0.06,0.04,0.06,0.05,0.05,0.08,0.05,0.04,0.06,0.07,0.06,0.06,0.08,0.05,0.03,0.04
45,0.38,0.25,0.46,0.66,0.53,0.16,0.42,0.25,0.45,0.39,0.3,0.27,0.4,0.51,0.21,0.6,0.43,0.49,0.14,0.37,0.35,0.54,0.45,0.41,0.29,0.44,0.44
46,0.9,0.87,0.84,0.78,0.81,0.93,0.81,0.92,0.69,0.73,0.9,0.89,0.8,0.8,0.93,0.66,0.82,0.78,0.86,0.88,0.86,0.71,0.64,0.64,0.89,0.76,0.81
47,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02
48,0.88,0.87,0.88,0.92,0.85,0.92,0.83,0.88,0.87,0.82,0.89,0.87,0.81,0.87,0.85,0.87,0.91,0.74,0.67,0.82,0.89,0.85,0.85,0.85,0.82,0.84,0.83
49,0.9,0.93,0.8,0.85,0.73,0.94,0.91,0.78,0.91,0.88,0.96,0.91,0.81,0.92,0.88,0.93,0.86,0.89,0.92,0.91,0.92,0.88,0.94,0.86,0.92,0.87,0.88
50,0.24,0.23,0.56,0.38,0.54,0.12,0.31,0.11,0.24,0.16,0.15,0.18,0.27,0.27,0.15,0.26,0.3,0.22,0.08,0.12,0.23,0.38,0.19,0.29,0.25,0.16,0.22
51,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02
52,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
53,0.69,0.51,0.95,0.86,0.95,0.26,0.49,0.33,0.56,0.36,0.67,0.47,0.56,0.68,0.51,0.68,0.49,0.41,0.69,0.41,0.52,0.85,0.5,0.68,0.47,0.47,0.64
54,0.9,0.94,0.92,0.9,0.87,0.93,0.91,0.93,0.81,0.88,0.95,0.92,0.91,0.92,0.89,0.89,0.94,0.86,0.93,0.91,0.92,0.88,0.87,0.9,0.93,0.89,0.91
55,0.04,0.03,0.04,0.06,0.03,0.04,0.04,0.03,0.06,0.04,0.09,0.05,0.08,0.04,0.04,0.07,0.05,0.05,0.07,0.05,0.03,0.07,0.09,0.06,0.05,0.04,0.04
56,0.97,0.96,0.96,0.99,0.98,0.99,0.94,0,0.98,0.99,0,0.98,0.97,0.98,0.95,0,0.99,0.97,0.96,0.9,0.97,0,0,0.98,0.99,0.99,0.98
57,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.02
58,0.96,0.97,0.96,0.98,0.95,0.96,0.96,0.96,0.98,0.94,0.97,0.96,0.97,0.98,0.96,0.98,0.97,0.96,0.96,0.96,0.97,0.96,0.93,0.91,0.97,0.96,0.96
59,0.96,0.98,0.96,0.98,0.95,0.97,0.96,0.94,0.98,0.95,0.97,0.95,0.97,0.96,0.49,0.97,0.97,0.97,0.96,0.95,0.96,0.96,0.98,0.92,0.96,0.89,0.96
60,0.72,0.88,0.95,0.82,0.95,0.91,0.48,0.67,0.67,0.47,0.85,0.91,0.85,0.89,0.48,0.75,0.74,0.78,0.45,0.55,0.56,0.91,0.73,0.77,0.89,0.5,0.83
61,0.94,0.96,0.94,0.87,0.94,0.92,0.94,0,0.94,0,0,0.93,0.94,0.91,0.93,0,0,0.93,0.84,0.95,0.93,0,0,0,0.96,0.94,0.88
62,0.84,0.96,0.96,0.87,0.96,0.95,0.67,0.72,0.96,0.93,0.96,0.92,0.93,0.94,0.79,0.92,0.63,0.92,0.89,0.93,0.8,0.89,0.97,0.93,0.95,0.87,0.88
63,0.03,0.02,0.03,0.04,0.02,0.05,0.02,0.02,0.03,0.02,0.04,0.03,0.02,0.03,0.03,0.02,0.02,0.03,0.02,0.02,0.03,0.03,0.02,0.03,0.03,0.02,0.02
64,0.03,0.02,0.01,0.03,0.03,0.02,0.03,0.02,0.11,0.06,0.02,0.03,0.04,0.04,0.02,0.05,0.01,0.03,0.02,0.08,0.02,0.03,0.05,0.01,0.02,0.12,0.04
65,0.96,0.91,0.96,0.96,0.97,0.96,0.96,0.93,0.93,0.92,0.93,0.91,0.94,0.93,0.95,0,0.93,0.89,0.76,0.92,0.96,0.93,0.95,0.91,0.96,0.91,0.94
66,0.82,0.88,0.87,0.82,0.87,0.84,0.87,0.79,0.83,0.87,0.85,0.83,0.87,0.84,0.79,0.88,0.88,0.81,0.77,0.83,0.85,0.82,0.89,0.8,0.88,0.86,0.81
67,0.95,0.95,0.94,0.96,0.94,0.95,0.95,0.97,0.96,0.97,0.96,0.96,0.96,0.97,0.96,0.97,0.96,0.97,0.95,0.97,0.96,0.96,0.98,0.81,0.97,0.96,0.96
68,0.9,0.91,0.9,0.85,0.9,0.88,0.89,0.9,0.87,0.9,0.82,0.9,0.9,0.9,0.88,0.88,0.86,0.86,0.6,0.89,0.9,0.82,0.86,0.8,0.91,0.89,0.9
69,0.08,0.08,0.1,0.08,0.08,0.06,0.08,0.06,0.38,0.12,0.06,0.08,0.09,0.12,0.06,0.18,0.08,0.09,0.06,0.1,0.07,0.15,0.18,0.07,0.07,0.18,0.11
70,0.29,0.49,0.38,0.3,0.23,0.42,0.39,0.38,0.49,0.42,0.43,0.41,0.45,0.32,0.35,0.35,0.35,0.4,0.28,0.49,0.32,0.31,0.29,0.41,0.38,0.47,0.41
71,0.04,0.05,0.04,0.06,0.02,0.05,0.03,0.03,0.04,0.03,0.05,0.05,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.06,0.03,0.02,0.04,0.03,0.03,0.02
72,0.96,0.97,0.98,0.97,0.96,0.97,0.96,0.97,0.98,0.96,0.96,0.97,0.65,0.98,0.96,0.98,0.98,0.95,0.95,0.95,0.97,0.97,0.98,0.94,0.98,0.97,0.98
73,0.04,0.05,0.02,0.02,0.02,0.09,0.03,0.03,0.03,0.03,0.06,0.04,0.02,0.03,0.05,0.02,0.02,0.03,0.03,0.05,0.02,0.02,0.02,0.05,0.03,0.03,0.04
74,0.04,0.04,0.05,0.04,0.03,0.05,0.04,0.04,0.07,0.04,0.08,0.04,0.03,0.03,0.04,0.05,0.09,0.05,0.04,0.04,0.05,0.04,0.06,0.05,0.03,0.03,0.03
75,0.81,0.85,0.93,0.52,0.92,0.77,0.87,0.66,0.89,0.8,0.75,0.81,0.93,0.84,0.42,0,0.37,0.89,0.22,0.84,0.67,0,0.9,0.84,0.58,0.69,0.87
76,0.92,0.94,0.96,0.95,0.96,0.86,0.94,0.96,0.97,0.98,0.96,0.82,0.95,0.91,0.95,0.99,0.98,0.93,0.93,0.98,0.9,0,0.97,0.97,0.98,0.97,0.98
77,0.01,0.01,0.02,0.02,0.01,0.01,0.02,0.01,0.02,0.01,0.03,0.02,0.01,0.01,0.01,0.01,0.03,0.01,0.01,0.04,0.01,0.01,0.01,0.03,0.01,0.01,0.02
78,0.22,0.16,0.11,0.2,0.11,0.14,0.34,0.14,0.18,0.16,0.29,0.2,0.16,0.28,0.35,0.17,0.08,0.16,0.09,0.27,0.2,0.22,0.14,0.41,0.22,0.27,0.2
79,0.04,0.04,0.04,0.1,0.04,0.08,0.05,0.03,0.27,0.09,0.04,0.04,0.05,0.08,0.03,0.22,0.09,0.09,0.18,0.06,0.04,0.06,0.18,0.04,0.05,0.17,0.1
80,0.2,0.12,0.12,0,0.01,0.09,0.28,0.08,0.12,0.16,0.25,0.15,0.13,0.13,0.48,0.23,0.13,0.12,0.23,0.23,0.21,0,0.22,0.24,0.23,0.15,0.14
81,0.4,0.62,0.72,0.52,0.71,0.49,0.46,0.44,0.44,0.3,0.44,0.46,0.74,0.53,0.23,0.52,0.44,0.51,0.65,0.36,0.36,0.52,0.43,0.5,0.68,0.37,0.48
82,0.96,0.67,0.96,0.95,0.95,0.97,0.92,0.93,0.92,0.91,0.96,0.95,0.96,0.97,0.96,0.94,0.94,0.94,0.97,0.61,0.86,0.94,0.93,0.93,0.97,0.89,0.91
83,0.9,0.86,0.96,0.85,0.94,0.93,0.82,0.89,0.88,0.7,0.89,0.93,0.82,0.89,0.89,0.75,0.6,0.81,0.23,0.66,0.77,0.9,0.82,0.88,0.88,0.71,0.85
84,0.47,0.58,0.58,0.57,0.6,0.27,0.48,0.27,0.72,0.65,0.35,0.44,0.5,0.51,0.38,0.7,0.64,0.56,0.24,0.52,0.65,0.62,0.47,0.55,0.33,0.63,0.46
85,0.39,0.33,0.76,0.61,0.85,0.29,0.52,0.2,0.41,0.62,0.3,0.24,0.59,0.44,0.24,0.65,0.58,0.47,0.44,0.48,0.65,0.56,0.45,0.36,0.23,0.53,0.45
86,0.98,0.96,0.98,0.97,0.97,0.95,0.98,0.96,0.98,0.92,0.93,0.97,0.93,0.97,0.98,0.98,0.96,0.94,0.7,0.96,0.98,0.98,0.97,0.85,0.95,0.9,0.98
87,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.01,0.01,0.01,0.01,0.01,0.02,0.01
88,0.42,0.43,0.47,0.42,0.43,0.48,0.35,0.47,0.38,0.35,0.46,0.44,0.39,0.41,0.38,0.43,0.39,0.38,0.2,0.44,0.4,0.41,0.43,0.42,0.47,0.36,0.47
89,0.9,0.91,0.89,0.91,0.85,0.94,0.93,0.84,0.86,0.82,0.71,0.91,0.86,0.78,0.92,0.71,0.91,0.84,0.83,0.9,0.94,0.72,0.68,0.86,0.81,0.85,0.82
90,0.33,0.27,0.48,0.37,0.46,0.34,0.35,0.19,0.22,0.13,0.27,0.29,0.35,0.3,0.28,0.13,0.24,0.29,0.22,0.2,0.39,0.37,0.16,0.38,0.27,0.21,0.19
91,0.94,0.91,0.86,0.79,0.83,0.97,0.85,0.93,0.54,0.86,0.97,0.93,0.79,0.94,0.93,0.89,0.78,0.92,0.92,0.79,0.96,0.8,0.89,0.96,0.97,0.91,0.91
92,0.92,0.95,0.92,0.94,0.9,0.94,0.93,0.94,0.94,0.93,0.94,0.92,0.93,0.94,0.93,0.95,0.95,0.92,0.92,0.91,0.94,0.9,0.95,0.84,0.92,0.92,0.93
93,0.02,0.03,0.03,0.05,0.03,0.03,0.03,0.02,0.09,0.13,0.1,0.07,0.04,0.07,0.02,0.1,0.03,0.04,0.16,0.07,0.03,0.08,0.14,0.03,0.04,0.09,0.05
94,0.05,0.07,0.05,0.04,0.03,0.09,0.05,0.05,0.04,0.05,0.06,0.06,0.05,0.05,0.05,0.03,0.04,0.05,0.04,0.06,0.04,0.04,0.04,0.05,0.06,0.06,0.05
95,0.49,0.68,0.81,0,0.84,0,0.69,0.14,0.69,0.39,0,0.64,0.7,0.65,0.58,0,0,0.37,0.28,0.58,0.38,0,0,0.31,0.3,0.42,0
96,0.94,0.93,0.94,0.95,0.95,0.93,0.94,0.95,0.94,0.94,0.94,0.93,0.94,0.95,0.94,0.94,0.94,0.94,0.93,0.94,0.94,0.92,0.95,0.89,0.94,0.94,0.94
97,0.03,0.04,0.02,0.02,0.02,0.17,0.02,0.02,0.02,0.02,0.03,0.03,0.02,0.02,0.03,0.02,0.02,0.03,0.02,0.05,0.02,0.03,0.02,0.03,0.02,0.02,0.02
98,0.52,0.56,0.44,0.41,0.4,0.58,0.53,0.52,0.53,0.55,0.64,0.55,0.54,0.49,0.54,0.45,0.53,0.53,0.59,0.53,0.55,0.4,0.55,0.49,0.49,0.41,0.5
99,0.08,0.09,0.1,0.16,0.08,0.11,0.09,0.14,0.08,0.15,0.07,0.11,0.46,0.14,0.06,0.11,0.07,0.18,0.07,0.1,0.17,0.11,0.17,0.07,0.12,0.19,0.16
100,0.64,0.88,0.93,0.8,0.85,0.9,0.73,0.7,0.86,0.82,0.74,0.91,0.88,0.89,0.64,0.86,0.9,0.86,0.81,0.79,0.66,0.79,0.91,0.63,0.89,0.75,0.67
101,0.46,0.5,0.51,0.36,0.43,0.7,0.45,0.13,0.44,0.36,0.54,0.53,0.27,0.43,0.32,0.48,0.31,0.36,0.44,0.57,0.59,0.48,0.42,0.61,0.44,0.42,0.52
102,0.5,0.51,0.54,0.62,0.54,0.46,0.52,0.53,0.61,0.58,0.57,0.53,0.52,0.55,0.5,0.56,0.52,0.52,0.35,0.53,0.52,0.53,0.59,0.49,0.49,0.55,0.53
103,0.94,0.95,0.95,0.95,0.95,0.94,0.95,0.91,0.95,0.94,0.95,0.96,0.94,0.96,0.89,0.94,0.95,0.93,0.96,0.94,0.95,0.93,0.96,0.9,0.95,0.95,0.95
104,0.05,0.05,0.06,0.04,0.05,0.04,0.05,0.04,0.04,0.04,0.05,0.05,0.04,0.05,0.06,0.03,0.03,0.04,0.05,0.05,0.04,0.04,0.04,0.04,0.06,0.05,0.05
105,0.88,0.89,0.86,0.86,0.85,0.88,0.86,0.87,0.89,0.85,0.86,0.88,0.86,0.89,0.87,0.85,0.88,0.88,0.58,0.88,0.88,0.82,0.87,0.67,0.85,0.84,0.86
106,0.94,0.76,0.98,0.97,0.97,0.88,0.9,0.87,0.97,0.93,0.91,0.95,0.98,0.92,0.91,0.96,0.94,0.97,0.98,0.8,0.93,0.97,0.98,0.85,0.45,0.92,0.93
107,0.1,0.18,0.12,0.11,0.12,0.12,0.16,0.12,0.22,0.15,0.15,0.16,0.15,0.15,0.14,0.13,0.11,0.18,0.45,0.21,0.15,0.1,0.13,0.04,0.1,0.15,0.11
108,0.25,0,0.27,0,0,0,0.29,0,0,0,0,0.79,0.92,0.36,0,0,0,0,0.34,0.4,0,0,0,0,0,0,0
109,0.74,0.92,0.94,0.82,0.94,0.83,0.8,0.77,0.95,0.92,0.93,0.93,0.94,0.95,0.83,0.94,0.92,0.92,0.92,0.92,0.88,0.91,0.94,0.86,0.9,0.91,0.92
110,0.96,0.98,0.98,0.99,0.98,0.98,0.96,0.97,0.98,0.97,0.95,0.97,0.97,0.98,0.97,0.98,0.98,0.98,0.97,0.96,0.98,0.98,0.99,0.92,0.97,0.97,0.97
111,0.78,0.87,0.9,0.85,0.87,0.85,0.87,0.73,0.76,0.82,0.72,0.86,0.88,0.86,0.86,0.84,0.75,0.82,0.41,0.85,0.72,0.87,0.8,0.83,0.9,0.81,0.78
112,0.46,0.67,0.87,0.58,0.88,0.71,0.42,0.13,0.44,0.45,0.34,0.46,0.48,0.58,0.36,0.79,0.78,0.57,0.72,0.43,0.66,0.65,0.37,0.31,0.53,0.67,0.52
113,0.22,0.84,0.15,0.15,0.1,0.68,0.44,0.59,0.68,0.31,0.83,0.45,0.6,0.23,0.55,0.08,0.18,0.5,0.79,0.79,0.4,0.15,0.39,0.52,0.69,0.36,0.53
114,0.92,0.84,0.96,0.89,0.94,0.91,0.73,0.9,0.79,0.29,0.94,0.82,0.92,0.94,0.51,0.63,0.42,0.9,0.3,0.58,0.61,0.93,0.45,0.61,0.93,0.48,0.62
115,0.96,0.97,0.95,0.98,0.96,0.96,0.96,0.96,0.97,0.96,0.97,0.96,0.95,0.98,0.96,0.97,0.96,0.97,0.88,0.96,0.97,0.94,0.96,0.82,0.95,0.96,0.96
116,0.86,0.96,0.97,0.87,0.96,0.98,0.85,0.97,0.97,0.83,0,0.98,0.95,0.95,0.92,0,0.97,0.97,0.35,0.97,0.94,0,0.98,0.98,0.98,0.94,0.96
117,0.75,0.71,0.95,0.37,0.95,0.89,0.62,0.41,0.85,0.67,0.64,0.76,0.86,0.83,0.64,0.88,0.94,0.85,0.9,0.43,0.77,0.8,0.66,0.51,0.9,0.85,0.77
118,0.76,0.9,0.92,0.88,0.93,0.81,0.86,0.73,0.87,0.87,0.92,0.87,0.93,0.86,0.75,0.88,0.82,0.84,0.87,0.8,0.81,0.85,0.86,0.83,0.91,0.86,0.77
119,0.07,0.15,0.06,0.08,0.03,0.04,0.04,0.03,0.05,0.03,0.1,0.06,0.05,0.06,0.07,0.08,0.05,0.06,0.28,0.05,0.09,0.04,0.03,0.06,0.05,0.07,0.05
120,0.94,0.93,0.92,0.91,0.94,0.98,0.94,0.96,0.95,0.94,0,0.96,0.95,0.93,0.95,0,0.95,0.95,0.95,0.98,0.94,0,0.98,0,0.97,0.92,0.96
121,0.9,0.98,0.99,0.84,0.98,0.94,0.8,0.87,0.99,0.97,0.98,0.93,0.98,0.9,0.93,0.98,0.97,0.98,0.64,0.96,0.95,0.96,0.98,0.81,0.96,0.89,0.93
122,0.04,0.05,0.04,0.02,0.03,0.04,0.04,0.03,0.04,0.03,0.02,0.04,0.04,0.06,0.03,0.02,0.02,0.03,0.03,0.04,0.03,0.02,0.03,0.02,0.04,0.05,0.05
123,0.76,0.77,0.86,0.88,0.9,0.76,0.76,0.74,0.83,0.76,0.73,0.75,0.73,0.79,0.73,0.88,0.84,0.78,0.38,0.69,0.78,0.88,0.82,0.54,0.69,0.79,0.78
124,0.94,0.94,0.97,0.95,0.97,0.95,0.93,0.96,0.95,0.95,0.94,0.92,0.96,0.96,0.95,0.96,0.96,0.95,0.95,0.94,0.95,0.85,0.96,0.87,0.95,0.96,0.95
125,0.8,0.69,0.66,0.77,0.63,0.26,0.76,0.59,0.78,0.75,0.89,0.65,0.89,0.81,0.73,0.84,0.62,0.75,0.71,0.7,0.78,0.83,0.79,0.69,0.61,0.77,0.77
126,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
