Site_ID,adipose tissue,adrenal gland,arteries,breast,colon,esophagus,heart,liver,lung,muscle,ovary,pancreas,Peyer's patch,prostate,skin,spinal nerves,spleen,stomach,testis,thyroid gland,uterus,vagina
2102,0.04,0.03,0.03,0.03,0.06,0.04,0.02,0.03,0.04,0.03,0.06,0.03,0.08,0.01,0.03,0.03,0.04,0.04,0.02,0.04,0.03,0.05
2106,0.78,0.77,0.78,0.75,0.78,0.78,0.76,0.78,0.8,0.78,0.77,0.78,0.78,0.84,0.78,0.77,0.79,0.8,0.78,0.81,0.81,0.78
2130,0.92,0.93,0.95,0.93,0.95,0.94,0.94,0.93,0.95,0.94,0.97,0.91,0.93,0.98,0.96,0.94,0.87,0.95,0.95,0.94,0.94,0.96
2162,0.06,0.04,0.06,0.05,0.03,0.06,0.05,0.06,0.05,0.04,0.07,0.04,0.04,0.03,0.04,0.04,0.03,0.05,0.06,0.02,0.05,0.02
2175,0.7,0.72,0.72,0.65,0.68,0.72,0.73,0.68,0.79,0.7,0.55,0.76,0.74,0.66,0.73,0.67,0.79,0.69,0.59,0.69,0.59,0.72
2214,0.05,0.05,0.04,0.07,0.09,0.08,0.04,0.05,0.06,0.04,0.05,0.04,0.14,0.05,0.05,0.05,0.11,0.07,0.04,0.04,0.02,0.05
2258,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.06,0.04,0.04,0.05,0.04,0.05,0.01,0.06,0.05,0.04,0.03,0.05,0.05,0.04,0.05
2270,0.02,0.01,0.02,0.01,0.02,0.02,0.03,0,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.02
2273,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.02,0.01,0.03,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.02,0.02,0.02
2312,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.06,0.03,0.05,0.05,0.05,0.04,0.04,0.04,0.03,0.03,0.04,0.05
2318,0.54,0.49,0.32,0.45,0.39,0.32,0.44,0.67,0.55,0.4,0.41,0.22,0.48,0.35,0.31,0.37,0.71,0.4,0.48,0.24,0.46,0.38
2330,0.06,0.04,0.04,0.08,0.06,0.06,0.04,0.03,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.07
2366,0.02,0.03,0.03,0.04,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.04,0.02,0.03,0.03,0.03,0.02
2377,0.01,0.01,0.01,0.01,0.04,0.02,0,0.03,0.02,0.01,0.01,0.01,0.04,0.01,0.01,0.02,0.02,0.02,0.02,0.01,0.01,0.02
2423,0.03,0.04,0.05,0.04,0.05,0.04,0.05,0.02,0.04,0.04,0.04,0.05,0.03,0.02,0.03,0.02,0.03,0.03,0.05,0.04,0.03,0.04
2431,0.05,0.06,0.09,0.04,0.04,0.06,0.07,0.06,0.06,0.05,0.04,0.09,0.05,0,0.08,0.06,0.04,0.04,0.09,0.12,0.03,0.09
2442,0.03,0.02,0.02,0.03,0.02,0.01,0.01,0.01,0.03,0.04,0.02,0.03,0,0.03,0.02,0.02,0.02,0.04,0.03,0.03,0.04,0.03
2463,0.74,0.89,0.9,0.88,0.84,0.81,0.85,0.9,0.88,0.87,0.79,0.92,0.84,0.9,0.81,0.81,0.86,0.86,0.68,0.88,0.86,0.87
2482,0.4,0.42,0.3,0.29,0.35,0.29,0.36,0.74,0.37,0.29,0.29,0.3,0.43,0.34,0.39,0.25,0.43,0.36,0.51,0.52,0.34,0.36
2593,0.03,0.02,0.02,0.03,0.02,0.02,0.03,0.06,0.02,0.02,0.01,0.04,0.03,0.01,0.03,0.03,0.02,0.04,0.04,0.06,0.02,0.03
2602,0.67,0.8,0.68,0.77,0.74,0.74,0.7,0.8,0.78,0.7,0.79,0.78,0.75,0.74,0.78,0.65,0.79,0.74,0.77,0.74,0.78,0.76
2613,0.1,0.09,0.08,0.11,0.1,0.08,0.1,0.11,0.09,0.09,0.1,0.07,0.08,0.05,0.1,0.1,0.1,0.08,0.1,0.07,0.09,0.07
2616,0.08,0.08,0.08,0.11,0.09,0.08,0.12,0.09,0.09,0.06,0.09,0.09,0.09,0.11,0.1,0.1,0.06,0.08,0.05,0.12,0.14,0.07
2635,0.04,0.04,0.02,0.04,0.04,0.04,0.04,0.02,0.03,0.04,0.05,0.04,0.03,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.03
2642,0.08,0.07,0.07,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.07,0.08,0.08,0.06,0.07,0.08,0.06,0.05,0.1,0.07,0.07,0.1
2663,0.58,0.75,0.54,0.79,0.78,0.76,0.56,0.76,0.64,0.74,0.77,0.81,0.74,0.72,0.76,0.5,0.66,0.75,0.69,0.74,0.72,0.72
2668,0.86,0.9,0.9,0.83,0.88,0.86,0.9,0.91,0.88,0.88,0.93,0.89,0.9,0.88,0.88,0.91,0.9,0.88,0.89,0.88,0.92,0.89
2703,0.02,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.01,0.02,0.03,0.02,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.01
2758,0.49,0.5,0.52,0.52,0.55,0.5,0.52,0.55,0.56,0.48,0.53,0.56,0.56,0.47,0.53,0.47,0.57,0.57,0.42,0.51,0.49,0.54
2821,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.01,0.03,0.03,0.04,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.02,0.03
2842,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.06,0.03,0.02,0.02,0.03,0.03,0.02,0.02,0.03,0.03,0.02,0.02,0.03
3221,0.78,0.81,0.88,0.77,0.85,0.84,0.86,0.89,0.82,0.84,0.74,0.8,0.87,0.9,0.82,0.81,0.83,0.87,0.88,0.89,0.93,0.9
3293,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.03,0.02,0.01,0.02,0.02,0.01,0.03,0.04,0.05,0.03,0.01,0.01,0.03,0.03
3305,0.74,0.85,0.81,0.68,0.85,0.71,0.65,0.45,0.6,0.82,0.87,0.9,0.85,0.83,0.59,0.81,0.9,0.84,0.82,0.84,0.9,0.77
3348,0.98,1,0.99,0.99,0.98,0.98,0.99,0.99,0.99,0.97,1,0.99,1,1,0.99,1,1,0.98,1,0.98,0.99,1
3355,0.97,0.97,0.97,0.96,0.97,0.97,0.97,0.98,0.97,0.97,0.97,0.96,0.99,0.97,0.96,0.98,0.97,0.96,0.95,0.98,0.97,0.97
3359,0.13,0.13,0.11,0.13,0.16,0.12,0.1,0.16,0.15,0.12,0.12,0.12,0.17,0.14,0.13,0.09,0.2,0.19,0.1,0.11,0.14,0.15
3372,0.15,0.12,0.14,0.2,0.16,0.18,0.07,0.1,0.12,0.14,0.06,0.06,0.12,0.09,0.11,0.1,0.1,0.15,0.03,0.13,0.08,0.19
3400,0.02,0.02,0.03,0.02,0.02,0.02,0.01,0.02,0.01,0.03,0.02,0.25,0.02,0.03,0.01,0.02,0.02,0.01,0.02,0.02,0.03,0.01
3404,0.04,0.03,0.02,0.03,0.04,0.03,0.04,0.03,0.03,0.03,0.02,0.04,0.02,0.01,0.04,0.03,0.03,0.04,0.03,0.04,0.03,0.04
3425,0.03,0.02,0.02,0.03,0.02,0.01,0.02,0.01,0.02,0.02,0.01,0.02,0.02,0.01,0.02,0.01,0.02,0.02,0.01,0.02,0.02,0.03
3435,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.02,0.03
3470,0.84,0.85,0.89,0.87,0.86,0.86,0.89,0.87,0.87,0.87,0.9,0.89,0.84,0.89,0.86,0.8,0.91,0.83,0.89,0.89,0.88,0.9
3482,0.6,0.55,0.49,0.55,0.54,0.55,0.56,0.68,0.62,0.44,0.35,0.52,0.58,0.68,0.62,0.58,0.68,0.63,0.59,0.38,0.39,0.55
3559,0.64,0.73,0.85,0.82,0.76,0.72,0.73,0.81,0.63,0.74,0.9,0.89,0.77,0.88,0.78,0.65,0.63,0.8,0.53,0.79,0.92,0.85
3590,0.03,0.01,0.03,0.02,0.04,0.03,0.03,0.02,0.02,0.03,0.03,0.03,0.02,0.04,0.03,0.03,0.03,0.02,0.01,0.02,0.02,0.04
3595,0.46,0.48,0.45,0.44,0.49,0.49,0.45,0.48,0.48,0.48,0.45,0.48,0.49,0.49,0.47,0.46,0.49,0.48,0.49,0.47,0.44,0.47
3606,0,0.76,0.84,0,0.87,0.76,0,0,0.76,0.8,0.8,0.81,0.67,0,0.78,0.77,0,0.78,0.59,0,0.86,0
3618,0.84,0.91,0.56,0.85,0.94,0.92,0.9,0.94,0.9,0.88,0.88,0.88,0.91,0.86,0.94,0.9,0.88,0.92,0.9,0.9,0.9,0.91
3650,0.99,0.98,0.98,0.97,0.98,0.98,0.98,0.99,0.98,0.98,1,0.99,0.99,1,0.99,0.99,1,0.98,1,0.99,1,0.98
3665,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.03,0.02,0.03,0.01,0.01,0.02,0.02,0.01,0.03,0.03,0.01,0.02,0.03
3690,0.01,0.02,0.01,0.01,0.01,0,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0,0.01,0.02,0.02,0.01
3756,0.58,0.63,0.6,0.51,0.59,0.62,0.64,0.57,0.69,0.55,0.5,0.81,0.75,0.39,0.63,0.57,0.92,0.81,0.71,0.61,0.53,0.51
3786,0.79,0.85,0.83,0.85,0.84,0.82,0.85,0.86,0.86,0.8,0.79,0.84,0.81,0.86,0.84,0.81,0.82,0.84,0.89,0.85,0.84,0.84
3800,0.36,0.29,0.41,0.44,0.42,0.38,0.39,0.35,0.44,0.37,0.33,0.34,0.4,0.31,0.36,0.31,0.41,0.32,0.32,0.27,0.39,0.42
3804,0.82,0.83,0.86,0.88,0.75,0.78,0.86,0.84,0.78,0.87,0.77,0.66,0.71,0.77,0.78,0.85,0.82,0.69,0.82,0.5,0.9,0.75
3816,0.01,0.01,0,0.02,0.01,0.01,0,0.01,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.01,0.02,0.01,0,0
3818,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.02,0.01,0.01,0.01,0.02,0,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01
3820,0.09,0.06,0.07,0.12,0.1,0.1,0.06,0.19,0.06,0.12,0.03,0.03,0.09,0.06,0.1,0.08,0.09,0.06,0.1,0.08,0.05,0.09
3821,0.46,0.74,0.77,0.72,0.6,0.69,0.62,0.2,0.44,0.76,0.45,0.14,0.49,0.76,0.72,0.77,0.27,0.35,0.54,0.78,0.76,0.72
3827,0.26,0.29,0.2,0.18,0.31,0.28,0.21,0.42,0.32,0.23,0.16,0.28,0.36,0.18,0.25,0.28,0.43,0.31,0.22,0.28,0.21,0.24
3835,0.02,0.02,0.01,0.01,0.03,0.01,0.04,0.02,0.04,0.02,0.01,0.01,0.03,0,0.02,0.02,0.05,0.01,0.01,0.02,0.03,0.02
3837,0.04,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.02,0.02,0.03,0.03,0.03,0.03,0.04
3845,0.03,0.03,0.04,0.02,0.03,0.03,0.03,0.02,0.04,0.02,0.04,0.02,0.02,0.01,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.03
3929,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.01,0.01,0.03,0.02,0.03,0.02,0,0.03,0.02,0.01,0.02,0.03,0.01,0.01,0.02
3991,0.97,0.99,0.99,0.97,0.98,0.98,0.99,0.99,0.98,0.99,0.98,0.99,0.97,0.98,0.99,0.99,0.98,0.98,0.68,0.98,0.98,0.98
4154,0.96,0.97,0.96,0.83,0.96,0.96,0.97,0.95,0.96,0.96,0.97,0.95,0.96,0.98,0.96,0.97,0.97,0.97,0.68,0.97,0.97,0.97
4285,0.9,0.92,0.92,0.88,0.92,0.9,0.88,0.92,0.89,0.9,0.88,0.92,0.91,0.92,0.9,0.93,0.9,0.92,0.44,0.91,0.85,0.9
4295,0.96,0.93,0.96,0.94,0.96,0.95,0.96,0.96,0.94,0.96,0.92,0.95,0.95,0.98,0.94,0.94,0.94,0.96,0.73,0.94,0.95,0.96
4441,0.95,0.96,0.97,0.97,0.96,0.96,0.96,0.92,0.95,0.96,0.96,0.95,0.94,0.96,0.96,0.97,0.93,0.96,0.65,0.96,0.97,0.97
5015,0.98,0.98,0.99,0.99,0.99,0.98,0.99,0.98,0.99,0.98,0.98,0.99,0.99,1,0.99,0.99,0.97,0.99,0.74,0.99,0.99,0.99
