Site_ID,breast,colon,kidney,lung,muscle,ovary,prostate,testis,blood
79,0.02,0.12,0.02,0.02,0.02,0.02,0.03,0.02,0.02
81,0.46,0.47,0.47,0.52,0.18,0.43,0.35,0.57,0.6
82,0.92,0.95,0.96,0.98,0.98,0.97,0.54,0.97,0.98
83,0.81,0.92,0.95,0.93,0.93,0.89,0.65,0.95,0.96
84,0.45,0.52,0.42,0.45,0.35,0.18,0.43,0.61,0.54
85,0.56,0.47,0.27,0.47,0.21,0.08,0.45,0.18,0.85
86,0.98,0.98,0.98,0.97,0.98,0.98,0.97,0.53,0.98
87,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
88,0.29,0.36,0.4,0.33,0.3,0.29,0.37,0.23,0.38
89,0.96,0.86,0.94,0.78,0.97,0.87,0.92,0.93,0.91
90,0.31,0.24,0.23,0.3,0.28,0.19,0.16,0.57,0.46
91,0.92,0.81,0.96,0.96,0.96,0.96,0.87,0.98,0.9
93,0.02,0.03,0.04,0.03,0.02,0.02,0.04,0.02,0.02
94,0.04,0.05,0.05,0.04,0.05,0.04,0.05,0.05,0.04
95,0.75,0.68,0.6,0.69,0.6,0.81,0.62,0.75,0.79
96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
97,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
99,0.05,0.05,0.05,0.07,0.03,0.03,0.05,0.03,0.05
100,0.69,0.63,0.91,0.9,0.64,0.23,0.75,0.61,0.92
101,0.41,0.43,0.47,0.37,0.25,0.61,0.53,0.63,0.36
104,0.03,0.03,0.04,0.03,0.04,0.03,0.03,0.03,0.03
106,0.86,0.96,0.95,0.89,0.89,0.9,0.75,0.88,0.98
107,0.07,0.08,0.07,0.05,0.06,0.05,0.09,0.04,0.05
109,0.85,0.94,0.95,0.96,0.85,0.94,0.93,0.89,0.96
110,0.96,0.99,0.99,0.99,0.99,0.98,0.99,0.98,0.99
111,0.83,0.77,0.82,0.82,0.87,0.72,0.8,0.84,0.86
112,0.45,0.52,0.44,0.59,0.26,0.21,0.4,0.11,0.96
113,0.53,0.54,0.46,0.13,0.63,0.91,0.77,0.82,0.03
114,0.74,0.7,0.82,0.97,0.44,0.08,0.53,0.6,0.98
118,0.88,0.81,0.92,0.88,0.79,0.83,0.78,0.89,0.95
119,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.04
120,0.96,0.95,0.95,0.95,0.96,0.96,0.96,0.97,0.91
121,0.83,0.98,0.93,0.9,0.94,0.98,0.98,0.59,0.99
122,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.03
123,0.82,0.88,0.85,0.85,0.8,0.78,0.8,0.44,0.91
124,0.97,0.97,0.97,0.99,0.98,0.97,0.98,0.97,0.99
125,0.75,0.74,0.68,0.73,0.76,0.75,0.66,0.4,0.67
126,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
127,0.03,0.04,0.03,0.03,0.03,0.03,0.04,0.03,0.03
128,0.88,0.89,0.87,0.87,0.9,0.87,0.88,0.87,0.83
129,0.95,0.96,0.97,0.96,0.97,0.96,0.95,0.59,0.96
130,0.4,0.82,0.56,0.87,0.76,0.08,0.63,0.71,0.95
131,0.93,0.93,0.87,0.95,0.93,0.9,0.94,0.93,0.95
132,0.75,0.85,0.83,0.76,0.74,0.77,0.84,0.91,0.55
133,0.94,0.91,0.97,0.96,0.96,0.96,0.75,0.94,0.96
134,0.12,0.19,0.15,0.17,0.07,0.14,0.14,0.16,0.18
135,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
137,0.89,0.88,0.92,0.92,0.82,0.79,0.89,0.92,0.95
138,0.48,0.79,0.86,0.83,0.33,0.49,0.52,0.76,0.95
139,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
141,0.78,0.91,0.93,0.79,0.87,0.91,0.9,0.82,0.4
142,0.95,0.97,0.98,0.98,0.97,0.97,0.97,0.69,0.97
143,0.63,0.67,0.56,0.65,0.27,0.08,0.68,0.88,0.97
144,0.96,0.96,0.96,0.95,0.96,0.94,0.96,0.95,0.95
146,0.91,0.74,0.92,0.63,0.95,0.92,0.89,0.75,0.54
147,0.92,0.89,0.91,0.95,0.92,0.84,0.92,0.96,0.97
148,0.04,0.05,0.04,0.04,0.05,0.04,0.05,0.05,0.05
149,0.2,0.27,0.17,0.2,0.13,0.09,0.24,0.07,0.19
150,0.94,0.92,0.92,0.92,0.94,0.94,0.94,0.94,0.92
151,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
152,0.94,0.86,0.93,0.94,0.87,0.91,0.86,0.56,0.93
154,0.41,0.48,0.58,0.54,0.3,0.33,0.48,0.63,0.77
155,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
156,0.45,0.86,0.84,0.78,0.9,0.92,0.77,0.94,0.97
157,0.84,0.76,0.8,0.61,0.74,0.83,0.75,0.52,0.89
158,0.87,0.86,0.68,0.74,0.63,0.88,0.85,0.48,0.8
159,0.71,0.72,0.69,0.73,0.56,0.48,0.66,0.81,0.87
160,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
161,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.01,0.03
162,0.03,0.03,0.03,0.03,0.02,0.02,0.03,0.02,0.03
163,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.97,0.98
164,0.97,0.98,0.98,0.98,0.98,0.97,0.97,0.97,0.98
165,0.32,0.31,0.28,0.47,0.19,0.24,0.38,0.09,0.48
167,0.48,0.48,0.59,0.57,0.85,0.67,0.32,0.58,0.88
168,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
169,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.51,0.97
170,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03
171,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
172,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.68,0.99
173,0.98,0.99,0.98,0.98,0.98,0.98,0.98,0.98,0.98
174,0.28,0.39,0.3,0.33,0.38,0.25,0.19,0.14,0.46
175,0.76,0.71,0.87,0.88,0.87,0.68,0.94,0.46,0.97
176,0.89,0.96,0.95,0.96,0.91,0.9,0.93,0.57,0.97
177,0.98,0.94,0.98,0.94,0.98,0.97,0.97,0.98,0.84
178,0.07,0.16,0.07,0.06,0.05,0.04,0.07,0.04,0.07
179,0.69,0.91,0.81,0.94,0.88,0.7,0.46,0.58,0.97
180,0.61,0.79,0.82,0.82,0.74,0.77,0.71,0.82,0.89
182,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
183,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
184,0.78,0.84,0.63,0.95,0.91,0.91,0.87,0.96,0.97
185,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.06
186,0.03,0.06,0.03,0.04,0.02,0.02,0.03,0.02,0.04
187,0.08,0.12,0.08,0.09,0.05,0.04,0.08,0.04,0.08
189,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.78,0.98
190,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
191,0.38,0.27,0.36,0.17,0.4,0.34,0.32,0.38,0.16
192,0.96,0.97,0.96,0.97,0.95,0.95,0.97,0.96,0.96
193,0.02,0.03,0.02,0.06,0.02,0.01,0.03,0.03,0.04
194,0.98,0.98,0.97,0.98,0.97,0.98,0.98,0.62,0.98
196,0.55,0.83,0.93,0.94,0.28,0.84,0.43,0.6,0.98
197,0.93,0.89,0.96,0.96,0.68,0.8,0.86,0.77,0.96
198,0.95,0.95,0.87,0.97,0.93,0.91,0.93,0.96,0.98
199,0.53,0.56,0.66,0.51,0.83,0.6,0.53,0.43,0.36
200,0.03,0.09,0.03,0.04,0.01,0.01,0.03,0.02,0.05
201,0.3,0.52,0.36,0.51,0.21,0.33,0.44,0.2,0.77
202,0.75,0.85,0.56,0.85,0.84,0.66,0.82,0.46,0.24
203,0.89,0.91,0.93,0.87,0.9,0.87,0.98,0.97,0.94
204,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
205,0.95,0.96,0.95,0.96,0.95,0.95,0.96,0.48,0.95
206,0.94,0.93,0.92,0.94,0.94,0.93,0.93,0.94,0.94
207,0.98,0.99,0.98,0.98,0.98,0.98,0.98,0.71,0.98
208,0.99,0.99,0.99,0.99,0.98,0.98,0.99,0.98,0.98
212,0.78,0.77,0.73,0.95,0.76,0.95,0.88,0.81,0.94
213,0.94,0.97,0.93,0.87,0.95,0.96,0.9,0.96,0.97
215,0.82,0.71,0.79,0.76,0.9,0.6,0.81,0.44,0.6
216,0.96,0.96,0.96,0.89,0.97,0.97,0.97,0.74,0.34
217,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03
218,0.66,0.69,0.76,0.63,0.9,0.62,0.52,0.82,0.07
219,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01
220,0.08,0.12,0.08,0.08,0.06,0.05,0.09,0.06,0.07
221,0.91,0.81,0.91,0.89,0.92,0.86,0.9,0.82,0.89
222,0.58,0.56,0.64,0.64,0.64,0.19,0.75,0.75,0.71
223,0.94,0.83,0.96,0.94,0.57,0.94,0.96,0.96,0.94
224,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02
225,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01
226,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
228,0.97,0.96,0.91,0.97,0.43,0.96,0.9,0.96,0.95
230,0.92,0.81,0.96,0.93,0.83,0.96,0.94,0.98,0.84
231,0.84,0.96,0.8,0.66,0.72,0.88,0.91,0.94,0.98
233,0.76,0.91,0.89,0.91,0.88,0.91,0.89,0.92,0.93
234,0.67,0.76,0.72,0.65,0.2,0.52,0.78,0.75,0.94
235,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
236,0.97,0.96,0.97,0.94,0.97,0.97,0.97,0.97,0.96
237,0.68,0.87,0.84,0.85,0.84,0.83,0.85,0.88,0.9
238,0.67,0.8,0.9,0.94,0.77,0.92,0.73,0.47,0.96
240,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
241,0.67,0.75,0.75,0.71,0.8,0.92,0.49,0.9,0.38
242,0.93,0.93,0.93,0.93,0.93,0.91,0.93,0.92,0.93
243,0.04,0.05,0.05,0.04,0.04,0.04,0.05,0.05,0.04
245,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03
246,0.24,0.18,0.33,0.15,0.36,0.04,0.14,0.17,0.12
247,0.07,0.13,0.13,0.17,0.13,0.04,0.07,0.03,0.31
248,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
249,0.93,0.92,0.79,0.92,0.96,0.96,0.88,0.96,0.89
250,0.12,0.13,0.13,0.11,0.13,0.11,0.13,0.13,0.15
251,0.95,0.94,0.96,0.93,0.92,0.94,0.94,0.95,0.96
252,0.36,0.31,0.73,0.52,0.6,0.59,0.67,0.71,0.4
253,0.95,0.94,0.92,0.94,0.94,0.9,0.94,0.92,0.93
255,0.64,0.47,0.49,0.56,0.79,0.47,0.44,0.59,0.42
256,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
257,0.82,0.55,0.79,0.56,0.74,0.64,0.87,0.65,0.46
258,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
259,0.02,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.02
261,0.14,0.14,0.09,0.12,0.1,0.05,0.1,0.06,0.13
262,0.41,0.07,0.05,0.04,0.05,0.26,0.44,0.11,0.04
263,0.97,0.72,0.69,0.88,0.75,0.91,0.79,0.96,0.81
264,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
265,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
266,0.03,0.09,0.03,0.03,0.02,0.02,0.03,0.02,0.04
267,0.97,0.96,0.96,0.97,0.96,0.96,0.96,0.96,0.97
268,0.9,0.98,0.98,0.98,0.98,0.97,0.98,0.77,0.98
269,0.99,0.99,0.97,0.99,0.99,0.99,0.99,0.47,0.99
270,0.26,0.21,0.15,0.12,0.2,0.11,0.4,0.06,0.09
271,0.74,0.71,0.77,0.63,0.54,0.71,0.73,0.84,0.81
272,0.98,0.99,0.99,0.99,0.98,0.98,0.98,0.98,0.99
273,0.05,0.05,0.05,0.04,0.05,0.04,0.05,0.05,0.05
274,0.98,0.98,0.97,0.94,0.94,0.99,0.99,0.97,0.99
275,0.4,0.58,0.4,0.49,0.25,0.05,0.28,0.27,0.97
276,0.96,0.96,0.97,0.95,0.9,0.93,0.97,0.95,0.97
277,0.03,0.12,0.01,0.02,0.02,0.04,0.02,0.02,0.02
278,0.77,0.95,0.96,0.92,0.95,0.96,0.6,0.94,0.97
279,0.82,0.75,0.8,0.79,0.76,0.71,0.83,0.72,0.65
280,0.14,0.24,0.15,0.22,0.37,0.11,0.19,0.32,0.24
281,0.33,0.51,0.54,0.37,0.48,0.73,0.27,0.89,0.38
283,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04
285,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
286,0.94,0.82,0.73,0.92,0.93,0.92,0.93,0.92,0.88
287,0.64,0.85,0.66,0.59,0.86,0.81,0.49,0.87,0.88
288,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01
289,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
290,0.11,0.2,0.15,0.39,0.37,0.1,0.2,0.07,0.36
291,0.73,0.88,0.86,0.87,0.84,0.72,0.86,0.9,0.83
293,0.22,0.36,0.23,0.38,0.17,0.07,0.24,0.56,0.64
294,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
296,0.02,0.03,0.02,0.04,0.02,0.01,0.02,0.01,0.03
297,0.04,0.06,0.04,0.04,0.04,0.03,0.04,0.04,0.05
298,0.06,0.21,0.06,0.08,0.03,0.02,0.07,0.03,0.08
299,0.93,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97
475,0.97,0.95,0.98,0.96,0.98,0.98,0.98,0.51,0.93
890,0.97,0.98,0.98,0.98,0.98,0.97,0.98,0.67,0.97
1275,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.63,0.97
2130,0.95,0.96,0.97,0.97,0.97,0.98,0.97,0.97,0.98
3618,0.94,0.94,0.94,0.93,0.83,0.93,0.79,0.93,0.93
3991,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.56,0.99
4154,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.5,0.97
4285,0.88,0.87,0.87,0.87,0.86,0.87,0.87,0.26,0.86
4295,0.94,0.96,0.95,0.95,0.95,0.95,0.94,0.54,0.94
4441,0.98,0.97,0.98,0.98,0.98,0.98,0.98,0.6,0.98
5015,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.56,0.98
5061,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.53,0.99
5084,0.97,0.83,0.97,0.97,0.97,0.97,0.97,0.97,0.97
5109,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.53,0.99
5204,0.95,0.96,0.95,0.95,0.95,0.94,0.95,0.65,0.96
5898,0.94,0.91,0.89,0.93,0.97,0.95,0.94,0.48,0.91
6486,0.98,0.99,0.99,0.98,0.98,0.99,0.97,0.45,0.99
6646,0.94,0.98,0.98,0.98,0.97,0.95,0.97,0.98,0.98
6712,0.95,0.96,0.97,0.96,0.94,0.92,0.95,0.55,0.97
6766,0.96,0.96,0.96,0.96,0.97,0.96,0.96,0.47,0.94
6805,0.88,0.88,0.88,0.88,0.42,0.87,0.88,0.87,0.86
7033,0.99,0.99,0.99,0.99,0.5,0.99,0.99,0.98,0.99
7077,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.57,0.99
7197,0.97,0.96,0.98,0.98,0.97,0.97,0.97,0.44,0.97
7394,0.95,0.95,0.94,0.95,0.95,0.94,0.94,0.44,0.94
7434,0.98,0.99,0.99,0.99,0.98,0.98,0.99,0.59,0.99
7791,0.92,0.94,0.94,0.94,0.86,0.91,0.94,0.58,0.95
8612,0.98,0.98,0.98,0.96,0.98,0.97,0.98,0.48,0.98
9061,0.98,0.98,0.98,0.96,0.98,0.98,0.98,0.48,0.99
9106,0.99,0.98,0.99,0.99,0.98,0.96,0.98,0.95,0.99
9113,0.97,0.98,0.98,0.98,0.95,0.97,0.97,0.54,0.97
9273,0.98,0.98,0.98,0.98,0.98,0.97,0.97,0.49,0.98
9382,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.41,0.98
9473,0.97,0.97,0.98,0.97,0.98,0.98,0.98,0.42,0.94
9808,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
10348,0.97,0.98,0.97,0.98,0.97,0.97,0.97,0.45,0.97
10537,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.55,0.98
10861,0.97,0.97,0.97,0.97,0.96,0.96,0.97,0.46,0.97
10994,0.02,0.02,0.02,0.02,0.04,0.02,0.02,0.02,0.03
11233,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.48,0.97
11308,0.98,0.99,0.89,0.98,0.91,0.99,0.99,0.47,0.99
11422,0.97,0.96,0.97,0.97,0.98,0.97,0.98,0.97,0.97
11562,0.9,0.91,0.91,0.9,0.9,0.9,0.9,0.38,0.9
11981,0.97,0.98,0.97,0.97,0.97,0.97,0.97,0.45,0.98
12022,0.98,0.98,0.98,0.98,0.98,0.97,0.98,0.61,0.98
12026,0.96,0.96,0.69,0.95,0.95,0.96,0.95,0.95,0.96
12158,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.61,0.99
12244,0.98,0.98,0.98,0.98,0.97,0.97,0.97,0.54,0.98
12607,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.56,0.98
13105,0.99,0.99,0.99,0.98,0.99,0.99,0.99,0.99,0.99
13373,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.48,0.97
13814,0.97,0.97,0.98,0.97,0.97,0.98,0.98,0.5,0.97
13894,0.98,0.97,0.97,0.97,0.98,0.98,0.97,0.64,0.96
13976,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.53,0.98
14168,0.95,0.96,0.95,0.96,0.96,0.94,0.95,0.52,0.96
14652,0.98,0.98,0.97,0.98,0.97,0.97,0.97,0.46,0.97
14704,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.59,0.98
14910,0.01,0.02,0.01,0.02,0.03,0.01,0.02,0.57,0.03
15208,0.99,0.99,0.99,0.99,0.98,0.99,0.98,0.5,0.98
15267,0.04,0.07,0.05,0.04,0.04,0.04,0.05,0.04,0.04
15341,0.97,0.98,0.98,0.98,0.98,0.97,0.98,0.63,0.98
15452,0.98,0.98,0.99,0.98,0.98,0.98,0.99,0.58,0.98
15650,0.99,0.98,0.98,0.99,0.96,0.99,0.99,0.86,0.99
15731,0.97,0.96,0.97,0.96,0.97,0.96,0.97,0.51,0.96
16392,0.98,0.99,0.98,0.98,0.98,0.96,0.98,0.46,0.98
16423,0.96,0.95,0.96,0.96,0.98,0.97,0.97,0.57,0.95
16507,0.95,0.95,0.94,0.95,0.94,0.94,0.94,0.43,0.94
16557,0.96,0.95,0.95,0.95,0.95,0.95,0.95,0.46,0.95
16581,0.99,0.99,0.99,0.99,0.97,0.99,0.99,0.46,0.99
16718,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.54,0.98
17019,0.98,0.99,0.98,0.99,0.98,0.98,0.98,0.52,0.98
17513,0.98,0.98,0.98,0.98,0.98,0.97,0.98,0.98,0.97
17711,0.96,0.85,0.96,0.96,0.98,0.98,0.96,0.51,0.95
18328,0.98,0.98,0.98,0.98,0.97,0.96,0.98,0.5,0.98
18393,0.98,0.98,0.98,0.99,0.98,0.98,0.98,0.56,0.98
18628,0.98,0.98,0.93,0.98,0.98,0.98,0.98,0.43,0.97
18764,0.98,0.98,0.98,0.98,0.98,0.97,0.98,0.51,0.97
18909,0.99,0.99,0.99,0.99,0.98,0.98,0.99,0.66,0.99
19117,0.97,0.98,0.97,0.98,0.97,0.97,0.98,0.43,0.98
19561,0.96,0.96,0.96,0.95,0.97,0.96,0.94,0.46,0.97
19695,0.98,0.98,0.96,0.98,0.97,0.97,0.97,0.53,0.97
21253,0.98,0.99,0.99,0.99,0.98,0.98,0.98,0.49,0.98
21662,0.93,0.96,0.95,0.96,0.92,0.93,0.95,0.57,0.97
21966,0.94,0.93,0.92,0.93,0.93,0.92,0.92,0.51,0.92
21974,0.94,0.94,0.93,0.93,0.94,0.93,0.93,0.59,0.93
22285,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.38,0.97
22521,0.88,0.88,0.88,0.89,0.88,0.85,0.89,0.47,0.88
23032,0.95,0.95,0.95,0.95,0.95,0.94,0.95,0.51,0.94
23186,0.97,0.97,0.93,0.97,0.96,0.96,0.97,0.95,0.95
23231,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.59,0.98
23269,0.98,0.98,0.98,0.99,0.99,0.98,0.98,0.64,0.99
23433,0.96,0.97,0.96,0.97,0.96,0.97,0.97,0.41,0.97
24068,0.95,0.97,0.95,0.91,0.95,0.9,0.95,0.53,0.97
24095,0.93,0.95,0.93,0.95,0.93,0.95,0.92,0.53,0.94
24653,0.97,0.98,0.98,0.98,0.98,0.97,0.98,0.58,0.98
24865,0.97,0.98,0.97,0.98,0.97,0.96,0.98,0.95,0.97
25415,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.56,0.98
25592,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
27442,0.97,0.97,0.97,0.95,0.95,0.97,0.97,0.61,0.96
27494,0.96,0.93,0.95,0.93,0.94,0.98,0.97,0.43,0.91
27527,0.99,0.99,0.98,0.98,0.98,0.98,0.98,0.5,0.98
27847,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.66,0.99
27895,0.95,0.97,0.97,0.95,0.92,0.95,0.96,0.61,0.95
28059,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.47,0.97
28310,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.64,0.99
28388,0.98,0.98,0.98,0.98,0.98,0.98,0.97,0.39,0.99
28465,0.96,0.97,0.97,0.97,0.96,0.96,0.97,0.56,0.97
